40,51,70,lr
51,52,30,tb
41,52,70,lr
40,41,30,tb
52,53,30,tb
43,54,30,lr
41,42,30,tb
53,54,30,rl
53,58,150,tb
57,58,30,lr
56,57,10,tb
55,56,130,tb
54,55,10,tb
44,55,30,lr
49,56,30,lr
48,49,10,tb
46,48,60,tb
44,46,60,tb
32,42,20,lr
42,43,10,lr
43,44,10,tb
45,46,20,lr
33,45,10,lr
32,33,70,tb
47,48,20,lr
45,47,60,tb
38,47,20,lr
49,50,10,tb
39,50,40,lr
38,39,30,tb
25,32,70,lr
33,34,10,rl
27,34,50,lr
26,27,10,lr
25,26,70,tb
35,38,30,tb
34,35,30,tb
35,36,30,rl
28,36,20,lr
27,28,30,tb
37,38,30,lr
36,37,30,tb
29,37,10,lr
30,39,40,lr
29,30,30,tb
24,25,20,lr
13,26,20,lr
12,13,20,tb
12,24,50,bt
21,28,30,lr
14,21,30,tb
13,14,20,tb
21,22,30,tb
22,29,40,lr
23,30,40,lr
22,23,30,tb
14,15,30,rl
20,23,30,lr
15,20,90,tb
15,16,30,rl
19,20,30,lr
18,19,30,tb
17,18,30,tb
16,17,30,tb
12,2,180,rl
16,3,120,rl
2,3,30,tb
17,4,120,rl
3,4,30,tb
18,5,120,rl
4,5,30,tb
10,19,120,lr
10,6,20,bt
5,6,10,tb
10,9,10,rl
30,31,30,tb
11,31,220,lr
11,9,30,bt
1,2,40,lr
6,7,40,rl
1,7,100,td
8,9,30,lr
7,8,20,tb
